,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
64429,"Apr 12, 2016",3,none,none,none
64431,"Apr 12, 2016",3,1,3,3
53523,"Apr 12, 2016",4,3,4,4
53564,"Apr 12, 2016",4,3,5,5
53565,"Apr 12, 2016",4,4,3,4
53566,"Apr 12, 2016",4,none,none,none
53567,"Apr 12, 2016",4,3,4,4
53577,"Apr 12, 2016",4,3,5,5
53495,"Apr 12, 2016",5,5,none,2
51793,"Apr 12, 2017",2,3,3,4
51787,"Apr 12, 2017",3,4,4,2
51788,"Apr 12, 2017",3,4,3,4
51784,"Apr 12, 2017",4,none,none,none
51723,"Apr 12, 2017",5,4,4,4
51724,"Apr 12, 2017",5,5,5,4
51725,"Apr 12, 2017",5,none,none,none
63460,"Apr 12, 2017",5,none,none,none
62543,"Apr 12, 2018",4,2,4,4
62544,"Apr 12, 2018",4,none,none,none
50287,"Apr 12, 2018",5,5,4,4
62510,"Apr 12, 2018",5,5,4,5
62512,"Apr 12, 2018",5,5,5,5
60910,"Apr 13, 2010",4,3.5,4,3.5
60913,"Apr 13, 2010",4,4,4,3.5
60405,"Apr 13, 2011",3,3.5,3,4.5
59928,"Apr 13, 2012",3,2.5,4,5
58915,"Apr 13, 2013",4,5,5,5
57626,"Apr 13, 2014",1,2,1,3
57537,"Apr 13, 2014",4,5,3,3
57472,"Apr 13, 2014",5,5,5,4
55822,"Apr 13, 2015",3,none,none,none
55807,"Apr 13, 2015",4,5,5,5
55818,"Apr 13, 2015",4,5,4,5
55819,"Apr 13, 2015",4,4,4,4
65372,"Apr 13, 2015",5,4,5,5
65375,"Apr 13, 2015",5,5,2,4
65376,"Apr 13, 2015",5,3,4,4
53569,"Apr 13, 2016",2,5,3,4
53493,"Apr 13, 2016",3,1,3,5
53558,"Apr 13, 2016",4,5,3,3
64428,"Apr 13, 2016",4,5,5,4
64405,"Apr 13, 2016",5,4,4,4
64406,"Apr 13, 2016",5,3,4,4
64407,"Apr 13, 2016",5,4,5,4
51782,"Apr 13, 2017",3,1,2,3
51783,"Apr 13, 2017",3,2,3,4
51789,"Apr 13, 2017",3,1,4,4
51714,"Apr 13, 2017",4,5,4,5
51780,"Apr 13, 2017",4,4,4,4
51719,"Apr 13, 2017",5,4,4,5
51720,"Apr 13, 2017",5,4,4,5
63456,"Apr 13, 2017",5,none,none,none
50273,"Apr 13, 2018",5,5,5,5
50274,"Apr 13, 2018",5,5,5,5
50284,"Apr 13, 2018",5,5,5,5
60904,"Apr 14, 2010",2,2.5,3,3.5
60905,"Apr 14, 2010",3,5,4,5
60906,"Apr 14, 2010",3,3,3,3
60887,"Apr 14, 2010",5,5,5,5
60893,"Apr 14, 2010",5,5,5,4.5
60430,"Apr 14, 2011",1,3.5,1,2.5
60400,"Apr 14, 2011",4,4.5,5,5
60408,"Apr 14, 2011",4,3,4,4
58914,"Apr 14, 2013",3,3,4,3
58913,"Apr 14, 2013",4,3,4,4
57533,"Apr 14, 2014",3,4,2,4
57530,"Apr 14, 2014",4,5,3,4
57535,"Apr 14, 2014",4,3,4,3
57488,"Apr 14, 2014",5,5,5,4
57489,"Apr 14, 2014",5,5,5,5
55820,"Apr 14, 2015",2,3,4,4
55817,"Apr 14, 2015",3,2,2,4
65396,"Apr 14, 2015",3,3,3,4
55808,"Apr 14, 2015",4,5,5,5
55816,"Apr 14, 2015",4,5,3,5
55768,"Apr 14, 2015",5,4,5,3
55769,"Apr 14, 2015",5,4,5,5
55770,"Apr 14, 2015",5,none,none,none
53544,"Apr 14, 2016",3,5,3,5
53545,"Apr 14, 2016",3,5,2,5
53551,"Apr 14, 2016",4,none,none,none
53552,"Apr 14, 2016",4,4,4,none
53553,"Apr 14, 2016",4,none,none,none
64427,"Apr 14, 2016",4,none,none,none
53483,"Apr 14, 2016",5,4,5,4
53484,"Apr 14, 2016",5,3,5,4
53485,"Apr 14, 2016",5,5,5,4
53486,"Apr 14, 2016",5,4,4,4
51781,"Apr 14, 2017",2,1,1,3
