,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
54230,"Dec 14, 2015",2,3,2,3
54211,"Dec 14, 2015",3,2,2,4
54231,"Dec 14, 2015",4,5,2,4
54246,"Dec 14, 2015",4,4,4,4
64755,"Dec 14, 2015",4,4,4,3
64763,"Dec 14, 2015",4,4,2,1
52456,"Dec 14, 2016",1,4,2,4
52458,"Dec 14, 2016",1,none,none,none
52344,"Dec 14, 2016",3,1,4,4
63773,"Dec 14, 2016",3,4,5,4
52358,"Dec 14, 2016",4,4,5,4
52359,"Dec 14, 2016",4,3,3,4
52360,"Dec 14, 2016",4,3,4,4
52361,"Dec 14, 2016",4,3,1,3
52299,"Dec 14, 2016",5,3,5,5
52300,"Dec 14, 2016",5,4,5,5
52301,"Dec 14, 2016",5,5,4,4
63739,"Dec 14, 2016",5,none,none,none
63740,"Dec 14, 2016",5,none,none,none
63744,"Dec 14, 2016",5,5,5,4
63745,"Dec 14, 2016",5,5,5,5
50704,"Dec 14, 2017",3,3,3,4
50705,"Dec 14, 2017",3,none,none,none
50700,"Dec 14, 2017",4,none,none,none
50701,"Dec 14, 2017",4,3,5,4
50702,"Dec 14, 2017",4,5,3,3
62819,"Dec 14, 2017",4,4,4,4
50655,"Dec 14, 2017",5,5,5,5
50656,"Dec 14, 2017",5,4,5,4
50657,"Dec 14, 2017",5,5,5,5
62792,"Dec 14, 2017",5,3,5,5
61346,"Dec 15, 2008",4,4.5,3.5,4.5
61021,"Dec 15, 2009",3,5,3,4.5
60564,"Dec 15, 2010",2,2,1,3.5
60567,"Dec 15, 2010",3,3.5,3,4
60562,"Dec 15, 2010",4,5,3,5
60088,"Dec 15, 2011",3,3,3,3
60092,"Dec 15, 2011",4,4.5,4,3.5
60086,"Dec 15, 2011",5,4.5,4,4.5
59314,"Dec 15, 2012",4,4,3,4
58062,"Dec 15, 2013",4,4,4,4
58063,"Dec 15, 2013",4,none,none,none
58021,"Dec 15, 2013",5,4,4,4
56422,"Dec 15, 2014",1,2,1,4
56344,"Dec 15, 2014",3,4,2,4
56350,"Dec 15, 2014",3,4,3,3
56347,"Dec 15, 2014",4,2,3,4
56348,"Dec 15, 2014",4,3,4,4
64758,"Dec 15, 2015",3,3,3,3
54240,"Dec 15, 2015",4,5,4,4
54247,"Dec 15, 2015",4,5,4,5
64757,"Dec 15, 2015",4,4,5,4
54177,"Dec 15, 2015",5,5,5,5
64717,"Dec 15, 2015",5,4,4,4
64722,"Dec 15, 2015",5,4,5,4
52354,"Dec 15, 2016",4,3,4,5
63782,"Dec 15, 2016",4,4,5,4
52286,"Dec 15, 2016",5,5,4,4
52297,"Dec 15, 2016",5,5,5,5
50699,"Dec 15, 2017",3,4,2,3
50698,"Dec 15, 2017",4,4,4,5
61340,"Dec 16, 2008",4,4,3,4
61015,"Dec 16, 2009",3,3.5,3.5,4
61006,"Dec 16, 2009",5,5,5,5
60560,"Dec 16, 2010",3,3,4,4
58065,"Dec 16, 2013",2,3,1,4
58052,"Dec 16, 2013",4,none,none,none
58053,"Dec 16, 2013",4,4,4,4
58054,"Dec 16, 2013",4,4,3,5
56346,"Dec 16, 2014",4,2,3,4
56349,"Dec 16, 2014",4,3,4,4
54237,"Dec 16, 2015",3,1,3,5
64754,"Dec 16, 2015",4,5,3,3
54169,"Dec 16, 2015",5,4,4,4
54170,"Dec 16, 2015",5,none,none,none
54171,"Dec 16, 2015",5,3,5,4
52352,"Dec 16, 2016",3,3,4,4
52353,"Dec 16, 2016",3,none,none,none
52350,"Dec 16, 2016",4,4,4,4
52351,"Dec 16, 2016",4,3,5,5
52291,"Dec 16, 2016",5,5,3,5
52292,"Dec 16, 2016",5,5,5,5
52293,"Dec 16, 2016",5,5,5,5
52294,"Dec 16, 2016",5,4,3,5
50696,"Dec 16, 2017",3,1,3,3
50692,"Dec 16, 2017",4,4,4,4
50693,"Dec 16, 2017",4,4,4,4
50694,"Dec 16, 2017",4,3,4,5
61345,"Dec 17, 2008",2,3,3,4
61344,"Dec 17, 2008",4,4,4,4
61003,"Dec 17, 2009",5,2.5,5,5
60578,"Dec 17, 2010",1,3.5,1,4
60561,"Dec 17, 2010",3,3,4,4.5
60105,"Dec 17, 2011",1,3,1,4
60085,"Dec 17, 2011",2,3.5,1,4
59310,"Dec 17, 2012",2,4,2,3
59318,"Dec 17, 2012",4,3,4,4
59287,"Dec 17, 2012",5,4,4,4
58050,"Dec 17, 2013",3,2,3,4
58059,"Dec 17, 2013",3,3,3,4
58016,"Dec 17, 2013",5,5,3,4
56342,"Dec 17, 2014",4,4,4,4
56310,"Dec 17, 2014",5,none,none,none
54324,"Dec 17, 2015",1,none,none,none
54233,"Dec 17, 2015",3,5,3,5
54234,"Dec 17, 2015",3,3,3,4
54207,"Dec 17, 2015",4,3,4,4
54216,"Dec 17, 2015",4,3,3,4
54217,"Dec 17, 2015",4,3,5,5
54227,"Dec 17, 2015",4,3,4,5
54228,"Dec 17, 2015",4,3,5,5
54229,"Dec 17, 2015",4,4,4,4
64716,"Dec 17, 2015",5,none,none,none
63783,"Dec 17, 2016",2,none,none,none
63776,"Dec 17, 2016",3,none,none,none
52348,"Dec 17, 2016",4,3,3,3
63775,"Dec 17, 2016",4,3,4,4
63741,"Dec 17, 2016",5,3,4,4
50689,"Dec 17, 2017",4,5,5,5
62816,"Dec 17, 2017",4,4,4,4
50651,"Dec 17, 2017",5,3,5,4
61343,"Dec 18, 2008",4,4.5,4,4
60084,"Dec 18, 2011",2,3.5,3,3.5
59298,"Dec 18, 2012",2,5,4,5
59293,"Dec 18, 2012",3,2,5,4
59306,"Dec 18, 2012",3,3,3,4
59307,"Dec 18, 2012",3,3,4,5
59312,"Dec 18, 2012",4,5,4,5
59313,"Dec 18, 2012",4,4,4,4
59321,"Dec 18, 2012",4,4,4,4
59322,"Dec 18, 2012",4,4,3,4
59276,"Dec 18, 2012",5,4,5,4
59285,"Dec 18, 2012",5,4,4,5
58049,"Dec 18, 2013",3,3,3,4
58051,"Dec 18, 2013",3,3,3,4
58045,"Dec 18, 2013",4,4,4,4
58046,"Dec 18, 2013",4,4,5,3
58014,"Dec 18, 2013",5,4,4,4
58015,"Dec 18, 2013",5,4,5,4
56343,"Dec 18, 2014",2,2,5,5
56307,"Dec 18, 2014",5,4,5,4
64787,"Dec 18, 2015",1,1,1,4
54214,"Dec 18, 2015",2,1,2,2
54218,"Dec 18, 2015",2,5,2,2
64750,"Dec 18, 2015",3,none,none,none
54225,"Dec 18, 2015",4,2,1,2
64736,"Dec 18, 2015",4,3,4,3
64714,"Dec 18, 2015",5,none,none,none
52349,"Dec 18, 2016",2,3,2,3
52345,"Dec 18, 2016",3,5,4,4
52343,"Dec 18, 2016",4,5,4,3
52287,"Dec 18, 2016",5,4,5,5
63738,"Dec 18, 2016",5,4,5,4
50672,"Dec 18, 2017",4,4,5,4
62811,"Dec 18, 2017",4,2,4,5
62813,"Dec 18, 2017",4,3,4,4
62814,"Dec 18, 2017",4,4,5,5
50649,"Dec 18, 2017",5,5,5,5
62790,"Dec 18, 2017",5,none,none,none
62791,"Dec 18, 2017",5,4,3,4
61017,"Dec 19, 2009",4,4,4.5,3.5
61018,"Dec 19, 2009",4,4.5,4,4.5
60102,"Dec 19, 2011",4,4.5,4,4.5
59357,"Dec 19, 2012",1,1,1,3
59299,"Dec 19, 2012",4,1,5,5
59319,"Dec 19, 2012",4,4,3,4
59288,"Dec 19, 2012",5,4,5,4
58048,"Dec 19, 2013",2,5,3,3
58044,"Dec 19, 2013",4,5,5,5
58047,"Dec 19, 2013",4,4,5,4
58011,"Dec 19, 2013",5,4,5,5
56339,"Dec 19, 2014",3,4,4,3
56331,"Dec 19, 2014",4,3,3,4
64723,"Dec 19, 2015",3,1,4,3
64734,"Dec 19, 2015",4,2,4,4
64735,"Dec 19, 2015",4,4,4,5
64745,"Dec 19, 2015",4,4,4,4
54124,"Dec 19, 2015",5,4,4,4
52309,"Dec 19, 2016",3,2,2,4
52341,"Dec 19, 2016",3,4,3,5
63750,"Dec 19, 2016",3,3,5,5
52337,"Dec 19, 2016",4,5,5,5
52338,"Dec 19, 2016",4,4,3,4
52339,"Dec 19, 2016",4,3,4,3
52340,"Dec 19, 2016",4,3,4,3
63728,"Dec 19, 2016",5,5,4,5
63735,"Dec 19, 2016",5,4,4,4
63736,"Dec 19, 2016",5,5,5,5
50679,"Dec 19, 2017",4,2,3,4
50686,"Dec 19, 2017",4,4,3,3
50646,"Dec 19, 2017",5,4,5,3
62789,"Dec 19, 2017",5,4,5,5
61358,"Dec 2, 2008",4,3,4,3.5
61041,"Dec 2, 2009",1,3,2,3.5
60559,"Dec 2, 2010",5,5,2,5
58107,"Dec 2, 2013",3,none,3,4
58112,"Dec 2, 2013",3,2,5,5
58082,"Dec 2, 2013",4,3,5,4
58088,"Dec 2, 2013",4,3,3,5
58072,"Dec 2, 2013",5,4,4,5
56359,"Dec 2, 2014",3,4,4,4
56390,"Dec 2, 2014",3,4,3,3
56397,"Dec 2, 2014",3,4,4,4
56382,"Dec 2, 2014",4,4,5,4
56395,"Dec 2, 2014",4,3,4,4
56345,"Dec 2, 2014",5,4,5,4
54423,"Dec 2, 2015",1,4,4,4
54281,"Dec 2, 2015",3,5,4,4
54294,"Dec 2, 2015",3,2,3,4
54299,"Dec 2, 2015",3,1,3,4
64781,"Dec 2, 2015",3,2,3,3
54283,"Dec 2, 2015",4,5,3,4
54292,"Dec 2, 2015",4,5,4,4
64778,"Dec 2, 2015",4,5,4,4
64779,"Dec 2, 2015",4,2,4,4
64780,"Dec 2, 2015",4,2,4,4
54235,"Dec 2, 2015",5,4,3,5
64752,"Dec 2, 2015",5,3,5,5
64753,"Dec 2, 2015",5,5,5,5
52411,"Dec 2, 2016",2,3,3,5
52409,"Dec 2, 2016",3,2,5,5
52407,"Dec 2, 2016",4,2,4,5
52408,"Dec 2, 2016",4,3,4,3
63810,"Dec 2, 2016",4,3,3,4
63777,"Dec 2, 2016",5,5,5,5
63781,"Dec 2, 2016",5,5,4,4
50827,"Dec 2, 2017",1,3,1,3
50758,"Dec 2, 2017",3,4,4,4
50757,"Dec 2, 2017",4,none,none,none
50690,"Dec 2, 2017",5,none,none,none
50691,"Dec 2, 2017",5,5,5,5
62818,"Dec 2, 2017",5,5,5,5
49643,"Dec 2, 2018",3,3,3,4
49612,"Dec 2, 2018",5,5,5,5
61016,"Dec 20, 2009",3,4,3,4
61014,"Dec 20, 2009",4,4.5,4,4.5
60545,"Dec 20, 2010",5,4,4,3
59300,"Dec 20, 2012",3,3,5,5
59317,"Dec 20, 2012",4,2,4,3
58043,"Dec 20, 2013",3,1,3,3
56338,"Dec 20, 2014",3,3,3,4
56340,"Dec 20, 2014",3,3,3,3
54219,"Dec 20, 2015",3,4,3,3
54220,"Dec 20, 2015",3,none,none,none
64740,"Dec 20, 2015",3,4,3,3
64738,"Dec 20, 2015",4,3,5,4
64739,"Dec 20, 2015",4,4,4,none
54134,"Dec 20, 2015",5,5,5,5
54159,"Dec 20, 2015",5,5,5,5
54160,"Dec 20, 2015",5,4,4,4
52430,"Dec 20, 2016",1,1,1,3
63769,"Dec 20, 2016",3,4,3,5
63770,"Dec 20, 2016",3,none,none,none
63771,"Dec 20, 2016",3,4,2,5
63767,"Dec 20, 2016",4,4,3,4
63729,"Dec 20, 2016",5,2,4,3
63733,"Dec 20, 2016",5,5,3,2
63734,"Dec 20, 2016",5,4,4,5
50675,"Dec 20, 2017",4,5,3,5
62810,"Dec 20, 2017",4,4,4,5
62786,"Dec 20, 2017",5,5,5,5
62787,"Dec 20, 2017",5,none,none,none
61013,"Dec 21, 2009",3,3.5,2.5,4
59292,"Dec 21, 2012",2,5,5,5
59302,"Dec 21, 2012",4,4,4,5
59311,"Dec 21, 2012",4,5,4,4
58042,"Dec 21, 2013",2,3,3,5
58041,"Dec 21, 2013",3,4,4,4
58040,"Dec 21, 2013",4,4,4,5
58004,"Dec 21, 2013",5,3,4,5
56402,"Dec 21, 2014",1,1,1,3
64725,"Dec 21, 2015",3,3,4,4
54203,"Dec 21, 2015",4,none,none,none
54213,"Dec 21, 2015",4,4,3,5
54149,"Dec 21, 2015",5,5,3,3
54150,"Dec 21, 2015",5,4,4,3
64707,"Dec 21, 2015",5,5,4,3
64708,"Dec 21, 2015",5,5,5,5
64710,"Dec 21, 2015",5,5,4,3
52333,"Dec 21, 2016",2,4,3,2
52334,"Dec 21, 2016",2,1,1,4
63762,"Dec 21, 2016",3,4,3,4
52312,"Dec 21, 2016",4,3,4,5
52328,"Dec 21, 2016",4,4,3,4
52329,"Dec 21, 2016",4,2,3,4
63763,"Dec 21, 2016",4,2,4,5
63768,"Dec 21, 2016",4,3,4,4
52280,"Dec 21, 2016",5,3,4,4
52281,"Dec 21, 2016",5,5,3,5
50676,"Dec 21, 2017",2,2,2,2
62804,"Dec 21, 2017",3,5,5,3
62808,"Dec 21, 2017",3,2,2,2
50624,"Dec 21, 2017",5,5,4,5
61342,"Dec 22, 2008",4,5,3.5,4.5
61010,"Dec 22, 2009",3,4.5,3,4
61012,"Dec 22, 2009",3,4,3,4
60558,"Dec 22, 2010",2,3,2,4.5
60556,"Dec 22, 2010",4,5,4,4
60095,"Dec 22, 2011",4,3.5,3,5
59290,"Dec 22, 2012",3,1,4,3
59303,"Dec 22, 2012",3,3,3,4
59308,"Dec 22, 2012",4,5,4,4
58039,"Dec 22, 2013",4,3,4,4
58002,"Dec 22, 2013",5,4,5,5
56333,"Dec 22, 2014",3,3,3,4
56329,"Dec 22, 2014",4,none,none,none
56293,"Dec 22, 2014",5,5,5,4
54197,"Dec 22, 2015",2,2,3,4
54204,"Dec 22, 2015",3,2,3,3
64726,"Dec 22, 2015",3,3,3,3
54188,"Dec 22, 2015",4,5,4,5
64733,"Dec 22, 2015",4,5,5,5
54142,"Dec 22, 2015",5,none,none,none
54143,"Dec 22, 2015",5,5,5,5
64709,"Dec 22, 2015",5,4,5,5
52320,"Dec 22, 2016",2,5,3,3
63764,"Dec 22, 2016",2,none,2,none
52321,"Dec 22, 2016",3,5,4,5
63760,"Dec 22, 2016",4,5,3,5
63761,"Dec 22, 2016",4,2,4,3
52273,"Dec 22, 2016",5,5,5,4
50678,"Dec 22, 2017",4,5,3,5
62807,"Dec 22, 2017",4,5,4,4
50637,"Dec 22, 2017",5,4,4,4
50638,"Dec 22, 2017",5,4,5,5
62776,"Dec 22, 2017",5,5,3,5
62782,"Dec 22, 2017",5,none,none,none
61011,"Dec 23, 2009",4,3.5,3.5,4
59304,"Dec 23, 2012",4,4,4,5
59279,"Dec 23, 2012",5,3,3,3
58038,"Dec 23, 2013",4,4,4,4
56334,"Dec 23, 2014",3,4,2,3
56328,"Dec 23, 2014",4,3,5,4
54157,"Dec 23, 2015",3,1,5,3
54208,"Dec 23, 2015",3,3,4,4
64729,"Dec 23, 2015",4,3,3,5
54137,"Dec 23, 2015",5,4,5,5
52317,"Dec 23, 2016",4,4,3,3
63727,"Dec 23, 2016",5,none,none,none
50751,"Dec 23, 2017",1,5,1,2
50674,"Dec 23, 2017",4,4,5,4
62803,"Dec 23, 2017",4,none,none,none
62781,"Dec 23, 2017",5,4,5,4
61355,"Dec 24, 2008",1,2.5,2,3.5
61341,"Dec 24, 2008",4,4,4,4
61026,"Dec 24, 2009",1,2,1.5,4.5
60993,"Dec 24, 2009",5,5,4,5
60081,"Dec 24, 2011",2,3,2.5,3.5
59294,"Dec 24, 2012",3,4,4,4
59301,"Dec 24, 2012",4,4,4,4
56326,"Dec 24, 2014",3,3,2,3
56325,"Dec 24, 2014",4,2,4,4
54202,"Dec 24, 2015",4,3,5,5
64699,"Dec 24, 2015",5,4,3,4
63756,"Dec 24, 2016",4,4,3,4
62796,"Dec 24, 2017",2,4,3,5
50673,"Dec 24, 2017",3,2,3,3
60554,"Dec 25, 2010",4,4,3.5,4.5
59343,"Dec 25, 2012",1,1,1,3
59297,"Dec 25, 2012",4,4,3,4
58036,"Dec 25, 2013",3,4,3,4
58035,"Dec 25, 2013",4,4,4,4
56323,"Dec 25, 2014",3,3,3,3
56322,"Dec 25, 2014",4,3,4,4
64697,"Dec 25, 2015",5,5,5,3
64698,"Dec 25, 2015",5,3,5,5
52265,"Dec 25, 2016",5,3,1,3
63726,"Dec 25, 2016",5,none,none,none
50733,"Dec 25, 2017",1,3,4,3
50660,"Dec 25, 2017",3,3,3,5
62797,"Dec 25, 2017",4,3,5,4
61337,"Dec 26, 2008",4,3.5,3.5,4
60552,"Dec 26, 2010",2,3.5,2.5,3.5
60555,"Dec 26, 2010",2,4,5,5
60553,"Dec 26, 2010",4,5,3.5,3.5
60089,"Dec 26, 2011",4,4.5,4,5
59277,"Dec 26, 2012",2,3,4,4
59282,"Dec 26, 2012",2,3,2,3
59295,"Dec 26, 2012",4,4,4,4
59269,"Dec 26, 2012",5,5,4,4
59283,"Dec 26, 2012",5,5,5,5
58031,"Dec 26, 2013",3,4,1,1
58032,"Dec 26, 2013",3,3,4,3
58030,"Dec 26, 2013",4,5,4,3
56318,"Dec 26, 2014",4,4,3,5
56319,"Dec 26, 2014",4,3,3,3
54192,"Dec 26, 2015",4,5,5,5
52307,"Dec 26, 2016",3,5,4,3
52306,"Dec 26, 2016",4,3,2,4
63749,"Dec 26, 2016",4,2,4,5
63721,"Dec 26, 2016",5,4,2,4
63724,"Dec 26, 2016",5,4,4,4
62838,"Dec 26, 2017",1,1,1,1
50667,"Dec 26, 2017",3,5,5,3
50665,"Dec 26, 2017",4,5,4,4
50666,"Dec 26, 2017",4,4,3,4
61338,"Dec 27, 2008",4,4.5,2.5,3.5
61009,"Dec 27, 2009",2,2,3,3.5
60550,"Dec 27, 2010",2,4,2,3.5
60083,"Dec 27, 2011",4,4,4,4
60094,"Dec 27, 2011",4,5,4.5,4.5
59296,"Dec 27, 2012",4,4,5,5
58025,"Dec 27, 2013",4,4,4,5
58026,"Dec 27, 2013",4,3,3,4
58027,"Dec 27, 2013",4,5,4,5
58028,"Dec 27, 2013",4,4,4,4
57979,"Dec 27, 2013",5,3,5,5
56372,"Dec 27, 2014",1,2,1,4
56316,"Dec 27, 2014",4,5,4,5
54119,"Dec 27, 2015",5,5,5,5
54122,"Dec 27, 2015",5,5,5,5
63803,"Dec 27, 2016",1,1,1,3
52296,"Dec 27, 2016",4,1,4,4
52303,"Dec 27, 2016",4,none,none,none
52304,"Dec 27, 2016",4,4,4,4
63709,"Dec 27, 2016",5,5,5,5
62793,"Dec 27, 2017",4,3,3,4
50592,"Dec 27, 2017",5,5,3,4
50618,"Dec 27, 2017",5,4,5,4
61008,"Dec 28, 2009",3,4,2,4.5
61004,"Dec 28, 2009",4,3,4,4
60551,"Dec 28, 2010",4,4,4,4
60082,"Dec 28, 2011",3,2.5,1,4.5
60072,"Dec 28, 2011",5,3.5,4,4
60077,"Dec 28, 2011",5,4,4,4
59286,"Dec 28, 2012",4,4,5,3
59291,"Dec 28, 2012",4,5,4,4
58024,"Dec 28, 2013",4,3,3,3
56313,"Dec 28, 2014",3,5,2,5
56315,"Dec 28, 2014",3,none,none,none
56271,"Dec 28, 2014",5,4,5,5
54186,"Dec 28, 2015",2,2,2,5
54175,"Dec 28, 2015",3,none,none,none
54184,"Dec 28, 2015",4,none,none,none
54185,"Dec 28, 2015",4,5,4,5
54113,"Dec 28, 2015",5,5,5,5
64691,"Dec 28, 2015",5,5,4,3
64692,"Dec 28, 2015",5,5,5,5
52302,"Dec 28, 2016",4,2,4,4
63746,"Dec 28, 2016",4,4,3,4
50661,"Dec 28, 2017",3,4,3,4
50658,"Dec 28, 2017",4,4,4,4
50621,"Dec 28, 2017",5,4,4,5
62772,"Dec 28, 2017",5,3,5,5
62775,"Dec 28, 2017",5,none,none,none
61336,"Dec 29, 2008",4,4.5,3,4.5
61002,"Dec 29, 2009",4,3.5,3.5,3
60535,"Dec 29, 2010",2,4.5,2,3.5
58029,"Dec 29, 2013",2,5,3,4
58023,"Dec 29, 2013",3,2,3,5
58022,"Dec 29, 2013",4,3,5,4
57974,"Dec 29, 2013",5,4,5,4
56373,"Dec 29, 2014",1,1,1,2
56303,"Dec 29, 2014",3,2,3,4
64719,"Dec 29, 2015",3,3,1,3
64720,"Dec 29, 2015",3,3,1,3
64721,"Dec 29, 2015",3,4,3,3
54178,"Dec 29, 2015",4,4,4,4
54179,"Dec 29, 2015",4,3,4,3
54180,"Dec 29, 2015",4,4,4,4
54181,"Dec 29, 2015",4,5,2,4
54182,"Dec 29, 2015",4,4,4,4
54183,"Dec 29, 2015",4,4,4,4
64718,"Dec 29, 2015",4,5,4,3
54105,"Dec 29, 2015",5,none,none,none
54106,"Dec 29, 2015",5,4,5,5
64688,"Dec 29, 2015",5,5,5,5
63790,"Dec 29, 2016",1,3,1,4
63742,"Dec 29, 2016",2,5,4,3
52298,"Dec 29, 2016",4,3,5,5
63743,"Dec 29, 2016",4,4,5,5
52252,"Dec 29, 2016",5,5,5,5
52253,"Dec 29, 2016",5,2,5,5
52254,"Dec 29, 2016",5,none,none,none
63712,"Dec 29, 2016",5,5,5,4
50654,"Dec 29, 2017",4,4,4,3
50619,"Dec 29, 2017",5,5,5,4
61361,"Dec 3, 2008",4,4,5,4.5
60103,"Dec 3, 2011",2,3,3,3.5
59326,"Dec 3, 2012",2,5,1,4
59341,"Dec 3, 2012",5,4,5,5
58105,"Dec 3, 2013",3,5,2,4
58108,"Dec 3, 2013",3,3,4,4
58068,"Dec 3, 2013",5,5,5,5
56391,"Dec 3, 2014",3,5,3,3
56330,"Dec 3, 2014",4,3,4,4
56377,"Dec 3, 2014",4,2,4,4
56393,"Dec 3, 2014",4,none,none,none
56394,"Dec 3, 2014",4,4,5,4
54215,"Dec 3, 2015",5,5,5,5
64749,"Dec 3, 2015",5,5,5,5
64751,"Dec 3, 2015",5,5,5,5
52346,"Dec 3, 2016",5,4,3,5
52347,"Dec 3, 2016",5,5,5,5
63774,"Dec 3, 2016",5,5,5,5
63778,"Dec 3, 2016",5,none,none,none
50753,"Dec 3, 2017",3,3,3,3
50754,"Dec 3, 2017",3,1,2,5
50755,"Dec 3, 2017",3,4,1,3
62844,"Dec 3, 2017",4,3,3,4
50688,"Dec 3, 2017",5,5,5,5
62812,"Dec 3, 2017",5,5,4,5
62815,"Dec 3, 2017",5,4,4,5
49690,"Dec 3, 2018",1,5,1,1
61944,"Dec 3, 2018",3,none,none,none
49628,"Dec 3, 2018",4,5,3,5
49641,"Dec 3, 2018",4,5,3,4
61942,"Dec 3, 2018",4,none,none,none
61943,"Dec 3, 2018",4,4,4,5
49605,"Dec 3, 2018",5,5,3,4
49610,"Dec 3, 2018",5,none,none,none
61912,"Dec 3, 2018",5,5,5,5
61334,"Dec 30, 2008",3,3.5,3.5,4
61335,"Dec 30, 2008",3,2.5,3.5,5
61318,"Dec 30, 2008",5,5,4.5,5
61319,"Dec 30, 2008",5,4.5,4.5,5
60543,"Dec 30, 2010",2,3,3,3
60546,"Dec 30, 2010",2,3,3,4.5
60539,"Dec 30, 2010",5,5,3.5,4.5
58019,"Dec 30, 2013",3,3,2,4
58020,"Dec 30, 2013",3,3,2,4
58017,"Dec 30, 2013",4,3,5,4
56305,"Dec 30, 2014",4,5,2,4
56312,"Dec 30, 2014",4,2,4,4
54176,"Dec 30, 2015",3,3,2,2
54172,"Dec 30, 2015",4,none,none,none
54173,"Dec 30, 2015",4,3,5,4
54174,"Dec 30, 2015",4,3,4,4
64686,"Dec 30, 2015",5,4,5,5
64689,"Dec 30, 2015",5,3,5,5
52295,"Dec 30, 2016",4,4,4,3
52186,"Dec 30, 2016",5,5,5,5
52250,"Dec 30, 2016",5,4,5,4
62761,"Dec 30, 2017",5,3,5,5
60541,"Dec 31, 2010",2,3,2,4.5
59273,"Dec 31, 2012",2,2,2,3
59274,"Dec 31, 2012",3,1,3,2
59280,"Dec 31, 2012",3,3,4,4
59284,"Dec 31, 2012",3,2,3,4
58008,"Dec 31, 2013",4,4,4,4
56311,"Dec 31, 2014",3,2,4,3
54166,"Dec 31, 2015",4,none,none,none
54167,"Dec 31, 2015",4,4,3,3
54168,"Dec 31, 2015",4,4,4,3
64704,"Dec 31, 2015",4,3,4,4
54090,"Dec 31, 2015",5,5,5,4
54091,"Dec 31, 2015",5,5,5,5
52245,"Dec 31, 2016",5,3,4,5
50648,"Dec 31, 2017",3,2,3,5
50652,"Dec 31, 2017",4,none,none,none
62769,"Dec 31, 2017",5,4,4,5
61360,"Dec 4, 2008",2,3.5,2,3.5
61353,"Dec 4, 2008",4,3.5,3.5,3.5
61024,"Dec 4, 2009",3,2.5,4,4.5
60575,"Dec 4, 2010",4,5,3,5
60104,"Dec 4, 2011",2,1,2,4.5
59349,"Dec 4, 2012",3,4,4,3
59347,"Dec 4, 2012",4,3,5,4
59323,"Dec 4, 2012",5,5,4,5
58101,"Dec 4, 2013",3,5,2,5
58090,"Dec 4, 2013",4,2,3,4
58100,"Dec 4, 2013",4,4,4,4
58109,"Dec 4, 2013",4,none,none,none
56387,"Dec 4, 2014",2,2,1,4
56379,"Dec 4, 2014",3,3,3,2
56392,"Dec 4, 2014",3,3,4,4
56388,"Dec 4, 2014",4,none,none,none
56332,"Dec 4, 2014",5,4,4,4
54282,"Dec 4, 2015",3,3,3,3
54284,"Dec 4, 2015",3,3,3,3
54274,"Dec 4, 2015",4,4,4,4
54286,"Dec 4, 2015",4,5,4,5
64776,"Dec 4, 2015",4,4,4,4
52406,"Dec 4, 2016",3,none,none,none
63793,"Dec 4, 2016",4,2,3,5
62843,"Dec 4, 2017",2,3,2,3
50750,"Dec 4, 2017",3,3,3,4
50745,"Dec 4, 2017",4,4,4,4
50746,"Dec 4, 2017",4,none,none,none
50747,"Dec 4, 2017",4,5,2,4
50748,"Dec 4, 2017",4,none,none,none
49638,"Dec 4, 2018",2,3,4,3
61945,"Dec 4, 2018",3,3,3,1
49636,"Dec 4, 2018",4,3,5,5
49637,"Dec 4, 2018",4,5,5,5
49639,"Dec 4, 2018",4,4,4,4
49611,"Dec 4, 2018",5,5,4,5
61906,"Dec 4, 2018",5,5,5,5
61911,"Dec 4, 2018",5,4,5,5
61356,"Dec 5, 2008",3,3,4,4
61351,"Dec 5, 2008",4,4.5,3,4.5
60594,"Dec 5, 2010",1,3,2.5,3
60096,"Dec 5, 2011",4,5,3.5,5
59345,"Dec 5, 2012",4,3,4,3
59320,"Dec 5, 2012",5,5,5,5
58096,"Dec 5, 2013",3,5,3,5
58097,"Dec 5, 2013",3,3,3,3
58056,"Dec 5, 2013",5,none,none,none
58057,"Dec 5, 2013",5,3,5,4
56363,"Dec 5, 2014",3,3,2,3
56383,"Dec 5, 2014",3,4,3,3
56381,"Dec 5, 2014",4,4,4,5
56320,"Dec 5, 2014",5,5,5,5
54277,"Dec 5, 2015",3,3,3,3
54285,"Dec 5, 2015",3,3,4,5
54221,"Dec 5, 2015",5,5,5,5
64741,"Dec 5, 2015",5,none,none,none
64742,"Dec 5, 2015",5,4,5,5
64743,"Dec 5, 2015",5,4,4,4
64748,"Dec 5, 2015",5,4,5,5
63808,"Dec 5, 2016",2,1,2,4
52403,"Dec 5, 2016",3,4,3,4
52399,"Dec 5, 2016",4,4,2,4
52400,"Dec 5, 2016",4,3,4,4
52401,"Dec 5, 2016",4,none,none,none
63804,"Dec 5, 2016",4,4,4,3
52335,"Dec 5, 2016",5,4,3,4
52336,"Dec 5, 2016",5,4,3,5
52342,"Dec 5, 2016",5,4,5,5
63757,"Dec 5, 2016",5,3,3,5
63758,"Dec 5, 2016",5,5,3,5
50749,"Dec 5, 2017",2,3,2,3
62832,"Dec 5, 2017",4,3,4,3
61987,"Dec 5, 2018",1,1,1,4
49633,"Dec 5, 2018",4,3,4,5
